facility_id,facility_name,facility_short_name,address,ward_id,town_id,ward_name,lga_id,lga_name,state_id,state_name,Latitude,Longitude
1,BOLARI PHC,GM01,GM01,3251,103,BOLARI EAST,281,GOMBE,15,GOMBE,10.38301,11.206567
2,DOMA PHC,GM02,GM02,3254,3,JEKA DAFARI,281,GOMBE,15,GOMBE,10.38301,11.206567
3,FAMILY SUPPORT PHC,GM03,GM03,3251,61,BOLARI EAST,281,GOMBE,15,GOMBE,10.38301,11.206567
4,GABUKKA PHC,GM04,GM04,3257,10,PANTAMI,281,GOMBE,15,GOMBE,10.38301,11.206567
5,HAYIN DOGO/SABON GARI HP,GM05,GM05,3256,420,NASARAWA,281,GOMBE,15,GOMBE,10.38301,11.206567
6,HERWAGANA PHCC,GM06,GM06,3253,4,HERWAGANA,281,GOMBE,15,GOMBE,10.38301,11.206567
7,IDI HP,GM07,GM07,3250,126,BAJOGA,281,GOMBE,15,GOMBE,10.38301,11.206567
8,JAURO ABARE PHC,GM08,GM08,3258,98,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
9,JEKADAFARI PHCC,GM09,GM09,3254,3,JEKA DAFARI,281,GOMBE,15,GOMBE,10.38301,11.206567
10,KAGARAWAL PHC,GM10,GM10,3258,23,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
11,KASUWAR MATA PHC,GM11,GM11,3258,98,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
12,KUMBIA KUMBIYA PHCC,GM12,GM12,3255,59,KUMBIYA - KUMBIYA,281,GOMBE,15,GOMBE,10.38301,11.206567
13,LONDON MAIDOROWA PHC,GM13,GM13,3258,6,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
14,MADAKI PHCC,GM14,GM14,3251,103,BOLARI EAST,281,GOMBE,15,GOMBE,10.38301,11.206567
15,MALAM INNA PHC,GM15,GM15,3258,71,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
16,MANAWASHI PHC,GM16,GM16,3257,10,PANTAMI,281,GOMBE,15,GOMBE,10.38301,11.206567
17,NASSARAWO PHCC,GM17,GM17,3256,48,NASARAWA,281,GOMBE,15,GOMBE,10.38301,11.206567
18,PANTAMI PHCC,GM18,GM18,3257,10,PANTAMI,281,GOMBE,15,GOMBE,10.38301,11.206567
19,PANTAMI NEW PHC,GM19,GM19,3257,10,PANTAMI,281,GOMBE,15,GOMBE,10.38301,11.206567
20,TBL HP,GM20,GM20,1079,161,DAWAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
21,TOWN PHCC,GM21,GM21,1079,161,DAWAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
22,TUDUNWADA PHCC,GM22,GM22,3258,49,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
23,YELENGURUZA HP,GM23,GM23,3256,48,NASARAWA,281,GOMBE,15,GOMBE,10.38301,11.206567
27,KORAN ZAKI PHC,GM24,JAURO ABARE PHC,3258,91,SHAMAKI,281,GOMBE,15,GOMBE,10.38301,11.206567
28,Nil,,Nil Address,3251,455,BOLARI EAST,281,GOMBE,15,GOMBE,10.38301,11.206567
35,Akko PHCC,AK01,Akko,3201,1,AKKO,276,AKKO,15,GOMBE,10.38301,11.206567
36,Arawa PHC,AK02,Arawa Unguwan Waziri,3202,66,GARKO,276,AKKO,15,GOMBE,10.38301,11.206567
37,Badara PHC,AK03,Badara,3204,1,KASHERE,276,AKKO,15,GOMBE,10.38301,11.206567
38,Bappah Ibrahima PHC,AK04,Bappah Ibrahima,3206,1,KUMO EAST,276,AKKO,15,GOMBE,10.38301,11.206567
39,Barambu PHCC,AK05,Barambu,3207,1,KUMO NORTH,276,AKKO,15,GOMBE,10.38301,11.206567
40,Barunde PHC,AK06,Barunde Area 2,3202,22,GARKO,276,AKKO,15,GOMBE,10.38301,11.206567
41,Bogo Model PHCC,AK07,Bogo Bcj,3202,306,GARKO,276,AKKO,15,GOMBE,10.38301,11.206567
42,Bogo PHC,AK08,Hayin Kwarin Misau,3202,198,GARKO,276,AKKO,15,GOMBE,10.38301,11.206567
