lga_id,lga_name,state_id
1,ABA NORTH,1
2,ABA SOUTH,1
3,AROCHUKWU,1
4,BENDE,1
5,IKWUANO,1
6,ISIALA NGWA NORTH,1
7,ISIALA NGWA SOUTH,1
8,ISUIKWUATO,1
9,OBINGWA,1
10,OHAFIA,1
11,OSISIOMA,1
12,UGWUNAGBO,1
13,UKWA EAST,1
14,UKWA  WEST,1
15,UMUAHIA NORTH,1
16,UMUAHIA  SOUTH,1
17,UMU - NNEOCHI,1
18,DEMSA,2
19,FUFORE,2
20,GANYE,2
21,GIRE 1,2
22,GOMBI,2
23,GUYUK,2
24,HONG,2
25,JADA,2
26,LAMURDE,2
27,MADAGALI,2
28,MAIHA,2
29,MAYO - BELWA,2
30,MICHIKA,2
31,MUBI NORTH,2
32,MUBI SOUTH,2
33,NUMAN,2
34,SHELLENG,2
35,SONG,2
36,TOUNGO,2
37,YOLA NORTH,2
38,YOLA SOUTH,2
39,ABAK,3
40,EASTERN OBOLO,3
41,EKET,3
42,ESIT EKET (UQUO),3
43,ESSIEN UDIM,3
44,ETIM EKPO,3
45,ETINAN,3
46,IBENO,3
47,IBESIKPO ASUTAN,3
48,IBIONO IBOM,3
49,IKA,3
50,IKONO,3
51,IKOT ABASI,3
52,IKOT EKPENE,3
53,INI,3
54,ITU,3
55,MBO,3
56,MKPAT ENIN,3
57,NSIT ATAI,3
58,NSIT IBOM,3
59,NSIT UBIUM,3
60,OBOT AKARA,3
61,OKOBO,3
62,ONNA,3
63,ORON,3
64,ORUK ANAM,3
65,UDUNG UKO,3
66,UKANAFUN,3
67,URUAN,3
68,URUE OFFONG/ORUKO,3
69,UYO,3
70,AGUATA,4
71,AYAMELUM,4
72,ANAMBRA EAST,4
73,ANAMBRA WEST,4
74,ANAOCHA,4
75,AWKA NORTH,4
76,AWKA SOUTH,4
77,DUNUKOFIA,4
78,EKWUSIGO,4
79,IDEMILI NORTH,4
80,IDEMILI-SOUTH,4
81,IHALA,4
82,NJIKOKA,4
83,NNEWI NORTH,4
84,NNEWI SOUTH,4
85,OGBARU,4
86,ONITSHA-NORTH,4
87,ONITSHA -SOUTH,4
88,ORUMBA NORTH,4
89,ORUMBA  SOUTH,4
90,OYI,4
91,ALKALERI,5
92,BAUCHI,5
93,BOGORO,5
94,DAMBAM,5
95,DARAZO,5
96,DASS,5
97,GAMAWA,5
98,GANJUWA,5
99,GIADE,5
100,ITAS/GADAU,5
101,JAMA'ARE,5
