Name,Latitude,Longitude
Abia,5.454095299,7.5153071
Adamawa,9.512977199,12.3881887
Akwa Ibom,4.9408638,7.8412267
Anambra,6.218313599,6.9531842
Bauchi,10.6228284,10.0287754
Bayelsa,4.7629786,6.028898
Benue,7.350574699,8.7772877
Borno,12.1875392,13.3080034
Cross River,5.867196599,8.5204774
Delta,5.527306099,6.1784167
Ebonyi,6.199691799,8.0348906
Edo,6.607657499,5.9722713
Ekiti,7.736890999,5.2738326
Enugu,6.553609399,7.4143061
Federal Capital Territory,8.831122799,7.1724673
Gombe,10.38301,11.206567
Imo,5.585945599,7.0669651
Jigawa,12.3252362,9.5103296
Kaduna,10.3825318,7.8533226
Kano,11.8948389,8.5364136
Katsina,12.5630825,7.6207063
Kebbi,11.4167574,4.1074545
Kogi,7.794960199,6.6868669
Kwara,8.836789099,4.6688487
Lagos,6.526903299,3.5774005
Nasarawa,8.438786799,8.2382849
Niger,9.932608299,5.6511088
Ogun,6.978858199,3.4389293
Ondo,7.020968599,5.0567477
Osun,7.548404699,4.4978307
Oyo,8.215124899,3.5642897
Plateau,9.058344599,9.6826289
Rivers,4.8416028,6.8604088
Sokoto,13.0611195,5.3152203
Taraba,8.014133399,10.7376336
Yobe,12.1233242,11.5065937
Zamfara,12.0078998,6.4191432
