ID,NAME,LGA_ID
1,EZIAMA,1
2,"INDUSTRIAL AREA",1
3,"OSUSU I",1
4,"OSUSU II",1
5,"ST.EUGENES BY OKIGWE RD.",1
6,URATTA,1
7,"OLD ABA GRA",1
8,UMUOLA,1
9,"ARIARIA MARKET",1
10,"OGBOR I",1
11,"OGBOR II",1
12,UMUOGOR,1
13,EZIUKWU,2
14,ASA,2
15,ENYIMBA,2
16,NGWA,2
17,"OHAZU I",2
18,"OHAZU II",2
19,IGWEBUIKE,2
20,EKEOHA,2
21,GLOUCESTER,2
22,MOSQUE,2
23,"ABA RIVER",2
24,"ABA TOWN HALL",2
25,OVUKWU,3
26,OHAEKE,3
27,"OHAFOR I",3
28,"OHAFOR II",3
29,"AROCHUKWU I",3
30,"AROCHUKWU II",3
31,"IKWUN IHECHIOWA",3
32,"ELEOHA IHECHIOWA",3
33,UTUTU,3
34,ISU,3
35,"AROCHUKWU III",3
36,AMANKALU/AKOLIUFU,4
37,BENDE,4
38,UGWUEKE/EZEUKWU,4
39,"IGBERE 'A'",4
40,"IGBERE 'B'",4
41,"ITEM A",4
42,"ITEM B",4
43,"ITEM C",4
44,ITUMBAUZO,4
45,OZUITEM,4
46,"UMUHU / EZECHI",4
47,"UMU - IMENYI",4
48,UZUAKOLI,4
49,"OLOKO I",5
50,"OLOKO II",5
51,"IBERE I",5
52,"IBERE II",5
53,"OBORO I",5
54,"OBORO II",5
55,"OBORO III",5
56,"OBORO IV",5
57,ARIAM,5
58,USAKA,5
59,"AMASAA NSULU",6
60,"UMUNNA NSULU",6
61,"ISIALA NSULU",6
62,"NGWA UKWU I",6
63,"NGWA UKWU II",6
64,IHIE,6
65,"AMASAA NTIGHA",6
66,"AMAPU NTIGHA",6
67,UMUOHA,6
68,"MBAWSI / UMUOMAINTA",6
69,"AMAISE / AMAISE ANABA",7
70,NGWAOBI,7
71,"MBUTU UKWU",7
72,"MBUTU NGWA",7
73,"EHINA GURU OSOKWA",7
74,"AKUNEKPU EZIAMA NA OBUBA",7
75,OMOBA,7
76,OVUNGWU,7
77,OVUOKWU,7
78,"OKPORO AHABA",7
79,IMENYI,8
80,EZERE,8
81,"ISIALA AMAWU",8
82,"ISU AMAWU",8
83,OGUNDUASA,8
84,UMUNNEKWU,8
85,"ACHARA / MGBUGWU",8
86,"IKEAGHA I",8
87,"IKEAGHA II",8
88,"UMUANYI / ABSU",8
89,"ABAYI  I",9
90,"ABAYI  II",9
91,"MGBOKO UMUANUNU",9
92,"MGBOKO ITUNGWA",9
93,AHIABA,9
94,"MABOKO AMAIRI",9
95,"ALAUKWU OHANZE",9
96,AKUMAIMO,9
97,"NDIAKATA / AMAIRINABUA",9
98,"NTIGHAUZO AMAIRI",9
99,IBEME,9
100,"ISIAMA OHAFIA",10
101,"EBEM OHAFIA",10
102,"NDI ELU NKPORO",10
103,"NDI ETITI NKPORO",10
104,"AMAEKE ABIRIBA",10
105,"AMAOGUDU ABIRIBA",10
106,"AGBOJI ABIRIBA",10
107,"OHAFOR OHAFIA",10
108,"OKAMU OHAFIA",10
109,"ANIA OHOAFIA",10
110,"NDI AGBO NKPORO",10
111,AMAVO,11
112,"AMAITOLU MBUTU UMUOJIMA",11
113,AMASATOR,11
114,"ARO - NGWA",11
115,"AMA - ASAA",11
116,"OSO - OKWA",11
117,URTTA,11
118,AMATOR,11
119,UMUNNEISE,11
120,"OKPOR - UMUOBO",11
121,"WARD ONE",12
122,"WARD TWO",12
123,"WARD THREE",12
124,"WARD FOUR",12
125,"WARD FIVE",12
126,"WARD SIX",12
127,"WARD SEVEN",12
128,"WARD EIGHT",12
129,"WARD NINE",12
130,"WARD TEN",12
131,"IKWURIATOR EAST",13
132,"IKWURIATOR WEST",13
133,AZUMINI,13
134,"UMUIGUBE ACHARA",13
135,AKWETE,13
136,OBOHIA,13
137,"IKWUEKE EAST",13
138,"IKWUEKE  WEST",13
139,NKPOROBE/OHURU,13
140,IKWUORIE,13
141,"ASA NORTH",14
142,OBOKWE,14
143,OGWE,14
144,"ASA SOUTH",14
145,OBUZOR,14
146,"IPU WEST",14
147,"IPU  EAST",14
148,"IPU   SOUTH",14
149,"OZAA UKWU",14
150,"OZAA  WEST",14
151,"IBEKU EAST  I",15
152,"IBEKU EAST  II",15
153,NDUME,15
154,"IBEKU WEST",15
155,"UMUAHIA URBAN  I",15
156,"UMUAHIA URBAN  II",15
157,"UMUAHIA URBAN  III",15
158,NKWOACHARA,15
159,NKWOEGWU,15
160,AFUGIRI,15
161,UMUHU,15
162,ISINGWU,15
163,EZELEKE/OGBODIUKWU,16
164,OMAEGWU,16
165,OHIAOCHA,16
166,"AHIAUKWU  I",16
167,"AHIAUKWU  II",16
168,"OLD UMUAHIA",16
169,AMAKAMA,16
170,"UBAKALA  'A'",16
171,NSIRIMO,16
172,"UBAKALA  'B'",16
173,AMUDA,17
174,UMUAKU,17
175,MBALA/ACHARA,17
176,EZINGODO,17
177,NDIAWA/UMUELEM/I,17
178,"EZIAMA - UGWU",17
179,"EZIAMA - AGBO",17
180,UBAHU/AKAWA/AROKPA,17
181,"UMUCHIEZE  I",17
182,"UMUCHIEZE  II",17
183,"UMUCHIEZE  III",17
184,OBINOLU/OBIAGU/LA,17
185,BILLE,18
186,BORRONG,18
187,DEMSA,18
188,DILLI,18
189,DONG,18
190,DWAM,18
191,GWAMBA,18
192,KPASHAM,18
193,"MBULA KULI",18
194,"NASSARAWO DEMSA",18
195,BETI,19
196,FARANG,19
197,FUFORE,19
198,GURIN,19
199,KARLAHI,19
200,"MAYO INE",19
201,PARIYA,19
202,RIBADU,19
203,"UKI TUKI",19
204,"WURO BOKKI",19
205,YADIM,19
206,"BAKARI GUSO",20
207,GAMU,20
208,"GANYE I",20
209,"GANYE II",20
210,GURUM,20
211,JAGGU,20
212,SANGASUMI,20
213,SUGU,20
214,TIMDORE,20
215,YEBBI,20
216,DAKRI,21
217,DAMARE,21
218,"GEREI I",21
219,"GIREI  II",21
220,GERENG,21
221,"JERA BAKARI",21
222,"JERA BONYO",21
223,"MODIRE/ VINIKILANG",21
224,TAMBO,21
225,"WURO DOLE",21
226,"BOGA/ DINGAI",22
227,DUWA,22
228,GA'ANDA,22
229,GABUN,22
230,"GOMBI NORTH",22
231,"GOMBI SOUTH",22
232,GARKIDA,22
233,GUYAKU,22
234,TAWA,22
235,YANG,22
236,BANJIRAM,23
237,BOBINI,23
238,BODENO,23
239,CHIKILA,23
240,DUKUL,23
241,DUMNA,23
242,GUYUK,23
243,KOLA,23
244,LOKORO,23
245,PUROKAYO,23
246,BANGSHIKA,24
247,DAKSIRI,24
248,GARAHA,24
249,GAYA,24
250,HILDI,24
251,HONG,24
252,"HUSHERE ZUM",24
253,KWARHI,24
254,"MAYO LOPE",24
255,SHANGUI,24
256,THILBANG,24
257,UBA,24
258,DANABA,25
259,"JADA I",25
260,"JADA II",25
261,"KOMA I",25
262,"KOMA II",25
263,LEKO,25
264,MAPEO,25
265,MAYOKALAYE,25
266,MBULO,25
267,NYIBANGO,25
268,YELLI,25
269,DUBWANGUN,26
270,GYAWANA,26
271,LAFIYA,26
272,LAMURDE,26
273,MGBEBONGUN,26
274,NGBAKOWO,26
275,OPALO,26
276,RIGANGE,26
277,SUWA,26
278,WADUKU,26
279,BABEL,27
280,"DUHU/ SHUWA",27
281,GULAK,27
282,HYAMBULA,27
283,"K/WURO NGAYANDI",27
284,MADAGALI,27
285,PALLAM,27
286,"SHELMI / SUKUR/ VAPURA",27
287,WAGGA,27
288,WULA,27
289,BELEL,28
290,HUMBUTUDI,28
291,KONKOL,28
292,"MAIHA GARI",28
293,MANJEKIN,28
294,MAYONGULI,28
295,PAKKA,28
296,"SORAU 'A'",28
297,"SORAU 'B'",28
298,TAMBAJAM,28
299,BAJAMA,29
300,BINYERI,29
301,GANGFADA,29
302,GENGLE,29
303,GOROBI,29
304,MAYO-BELWA,29
305,"MAYO FARANG",29
306,"NASSARAWO JERENG",29
307,NDIKONG,29
308,TOLA,29
309,YOFFO,29
310,"BAZZA MARGI",30
311,"FUTUDOU / FUTULES",30
312,"GARTA / GHUNCHI",30
313,JIGALAMBU,30
314,MADZI,30
315,"MICHIKA  I",30
316,"MICHIKA  II",30
317,"MINKISI/ WURO NGIKI",30
318,"MODA / DLAKA / GHENJUWA",30
319,MUNKAVICITA,30
320,"SINA / KAMALE / KWANDE",30
321,"THUKUDOU / SUFUKU / ZAH",30
322,"SUKUMU / TILLIJO",30
323,"TUMBARA / NGABILI",30
324,"VI / BOKA",30
325,"WAMBLIMI / TILLI",30
326,BAHULI,31
327,BETSO,31
328,DIGIL,31
329,KOLERE,31
330,LOKUWA,31
331,"MAYO BANI",31
332,MIJILU,31
333,MUCHALLA,31
334,"SABON LAYI",31
335,VIMTIM,31
336,YELWA,31
337,DIRBISHI/GANDIRA,32
338,"DUVU/ CHABA/ GIRBURUM",32
339,GELLA,32
340,GUDE,32
341,KWAJA,32
342,LAMORDE,32
343,MUJARA,32
344,"MUGULBU/ YADAFA",32
345,NASSARAWO,32
346,NDUKU,32
347,BARE,33
348,BOLKI,33
349,GAMADIO,33
350,IMBURU,33
351,KODOMTI,33
352,"NUMAN I",33
353,"NUMAN II",33
354,"NUMAN III",33
355,"SABON PEGI",33
356,VULPI,33
357,BAKTA,34
358,BODWAI,34
359,GUNDO,34
360,GWAPOPOLOK,34
361,JUMBUL,34
362,KETEMBERE,34
363,KIRI,34
364,LIBBO,34
365,SHELLENG,34
366,TALLUM,34
367,DIRMA,35
368,DUMNE,35
369,"GUDU MBOI",35
370,"KILANGE FUNA",35
371,"KILANGE HIRNA",35
372,SIGIRE,35
373,SUKTU,35
374,"SONG GARI",35
375,"SONG WAJE",35
376,WALTANDI,35
377,ZUMO,35
378,"DAWO I",36
379,"DAWO II",36
380,GUMTI,36
381,"KIRI I",36
382,"KIRI II",36
383,"KONGIN BABA I",36
384,"KONGIN BABA II",36
385,"TOUNGO I",36
386,"TOUNGO II",36
387,"TOUNGO III",36
388,ALKALAWA,37
389,AJIYA,281
390,DOUBELI,37
391,GWADABAWA,37
392,JAMBUTU,37
393,KAREWA,37
394,LIMAWA,37
395,LUGGERE,37
396,RUMDE,37
397,ADARAWO,38
398,BAKO,38
399,"BOLE YOLDE PATE",38
400,NAMTARI,38
401,NGURORE,38
402,"MAKAMA 'A'",38
403,"MAKAMA 'B'",38
404,MBAMBA,38
405,MBAMOI,38
406,TOUNGO,38
407,"YOLDE KOHI",38
408,"ABAK URBAN 1",39
409,"ABAK URBAN 11",39
410,"ABAK URBAN 111",39
411,"ABAK URBAN 1V",39
412,"AFAHA OBONG 1",39
413,"AFAHA OBONG 11",39
414,"MIDIM 1",39
415,"MIDIM 11",39
416,"OTORO 1",39
417,"OTORO 11",39
418,"OTORO 111",39
419,"EASTERN OBOLO 1",40
420,"EASTERN OBOLO 11",40
421,"EASTERN OBOLO 111",40
422,"EASTERN OBOLO 1V",40
423,"EASTERN OBOLO V",40
424,"EASTERN OBOLO V1",40
425,"EASTERN OBOLO V11",40
426,"EASTERN OBOLO V111",40
427,"EASTERN OBOLO IX",40
428,"EASTERN OBOLO X",40
429,"URBAN 1",41
430,"URBAN 11",41
431,"URBAN 111",41
432,"URBAN 1V",41
433,"CENTRAL 1",41
434,"CENTRAL 11",41
435,"CENTRAL 111",41
436,"CENTRAL 1V",41
437,"CENTRAL V",41
438,"OKON 1",41
439,"OKON 11",41
440,"EKPENE OBO",42
441,EDOR,42
442,"EBE EKPI",42
443,IKPA,42
444,UQUO,42
445,"EBIGHI OKPONO",42
446,"ETEBI IDUNG ASSAN",42
447,"ETEBI AKWATA",42
448,AKPAUTONG,42
449,"NTAK INYANG",42
450,ADIASIM,43
451,AFAHA,43
452,"EKPEYONG 1",43
453,"EKPEYONG 11",43
454,"IKPE ANNANG",43
455,"ODORO IKOT 1",43
456,"ODORO IKOT 11",43
457,OKON,43
458,"UKANA EAST",43
459,"UKANA WEST 1",43
460,"UKANA WEST 11",43
461,"ETIM EKPO 1",44
462,"ETIM EKPO 11",44
463,"ETIM EKPO 111",44
